entity,tp,fp,fn,precision,recall,f1
pessoa,185,116,125,61.461794019933556,59.67741935483871,60.55646481178397
organizacao,259,379,302,40.59561128526646,46.16755793226381,43.20266889074228
tempo,164,92,71,64.0625,69.7872340425532,66.80244399185337
local,48,143,61,25.13089005235602,44.03669724770643,32.0
legislacao,221,365,202,37.71331058020478,52.24586288416076,43.80574826560951
jurisprudencia,113,192,94,37.049180327868854,54.589371980676326,44.14062500000001
