entity,tp,fp,fn,precision,recall,f1
pessoa,206,352,104,36.91756272401434,66.45161290322581,47.465437788018434
organizacao,280,535,282,34.355828220858896,49.8220640569395,40.66811909949165
tempo,171,174,63,49.56521739130435,73.07692307692307,59.06735751295337
local,66,239,43,21.639344262295083,60.550458715596335,31.884057971014492
legislacao,230,640,230,26.436781609195403,50.0,34.58646616541353
jurisprudencia,42,143,166,22.702702702702705,20.192307692307693,21.37404580152672
