entity,tp,fp,fn,precision,recall,f1
pessoa,158,114,150,58.08823529411765,51.298701298701296,54.48275862068965
organizacao,200,329,339,37.80718336483932,37.105751391465674,37.45318352059925
tempo,128,122,102,51.2,55.65217391304348,53.33333333333333
local,37,129,70,22.289156626506024,34.57943925233645,27.10622710622711
legislacao,188,416,218,31.125827814569533,46.30541871921182,37.22772277227723
jurisprudencia,92,132,115,41.07142857142857,44.44444444444444,42.69141531322506
