entity,tp,fp,fn,precision,recall,f1
pessoa,187,316,123,37.17693836978131,60.322580645161295,46.00246002460024
organizacao,264,495,297,34.78260869565217,47.05882352941176,40.0
tempo,160,190,74,45.714285714285715,68.37606837606837,54.794520547945204
local,60,241,49,19.93355481727575,55.04587155963303,29.26829268292683
legislacao,212,565,214,27.28442728442728,49.76525821596244,35.24522028262676
jurisprudencia,54,154,154,25.961538461538463,25.961538461538463,25.961538461538463
