entity,tp,fp,fn,precision,recall,f1
pessoa,175,298,135,36.99788583509514,56.451612903225815,44.69987228607919
organizacao,252,444,309,36.206896551724135,44.919786096256686,40.09546539379474
tempo,137,192,98,41.641337386018236,58.29787234042553,48.58156028368794
local,48,231,61,17.20430107526882,44.03669724770643,24.742268041237118
legislacao,200,546,223,26.80965147453083,47.28132387706856,34.217279726261765
jurisprudencia,51,193,156,20.901639344262296,24.637681159420293,22.61640798226164
