entity,tp,fp,fn,precision,recall,f1
pessoa,137,96,151,58.798283261802574,47.56944444444444,52.59117082533589
organizacao,200,239,329,45.558086560364465,37.80718336483932,41.32231404958677
tempo,157,58,69,73.0232558139535,69.46902654867256,71.20181405895693
local,44,151,59,22.564102564102566,42.71844660194174,29.53020134228188
legislacao,206,340,199,37.72893772893773,50.864197530864196,43.32281808622503
jurisprudencia,102,173,96,37.09090909090909,51.515151515151516,43.12896405919662
