entity,tp,fp,fn,precision,recall,f1
pessoa,206,91,104,69.36026936026936,66.45161290322581,67.87479406919275
organizacao,253,325,308,43.77162629757785,45.09803921568628,44.42493415276559
tempo,154,98,81,61.111111111111114,65.53191489361701,63.24435318275154
local,52,128,57,28.888888888888886,47.706422018348626,35.98615916955016
legislacao,261,265,162,49.619771863117876,61.702127659574465,55.005268703898835
jurisprudencia,113,151,94,42.803030303030305,54.589371980676326,47.983014861995755
