entity,tp,fp,fn,precision,recall,f1
pessoa,202,11,31,94.83568075117371,86.69527896995707,90.5829596412556
organizacao,277,142,225,66.10978520286396,55.17928286852589,60.152008686210635
tempo,151,59,41,71.9047619047619,78.64583333333334,75.12437810945273
local,37,23,11,61.66666666666667,77.08333333333334,68.51851851851853
legislacao,293,71,119,80.4945054945055,71.11650485436894,75.51546391752578
jurisprudencia,133,70,52,65.51724137931035,71.89189189189189,68.55670103092784
