entity,tp,fp,fn,precision,recall,f1
pessoa,164,212,146,43.61702127659575,52.903225806451616,47.81341107871721
organizacao,256,476,305,34.97267759562842,45.632798573975045,39.59783449342614
tempo,145,189,90,43.41317365269461,61.702127659574465,50.966608084358526
local,42,190,67,18.103448275862068,38.53211009174312,24.633431085043988
legislacao,198,599,225,24.843161856963615,46.808510638297875,32.459016393442624
jurisprudencia,83,287,124,22.432432432432435,40.09661835748793,28.769497400346626
