entity,tp,fp,fn,precision,recall,f1
pessoa,129,73,98,63.86138613861386,56.82819383259912,60.13986013986013
organizacao,236,232,255,50.427350427350426,48.06517311608962,49.21793534932221
tempo,110,73,79,60.10928961748634,58.201058201058196,59.13978494623656
local,30,38,17,44.11764705882353,63.829787234042556,52.17391304347826
legislacao,205,153,187,57.262569832402235,52.295918367346935,54.66666666666666
jurisprudencia,102,154,75,39.84375,57.6271186440678,47.11316397228637
