entity,tp,fp,fn,precision,recall,f1
pessoa,147,72,86,67.12328767123287,63.0901287553648,65.04424778761062
organizacao,215,253,287,45.94017094017094,42.82868525896414,44.329896907216494
tempo,136,226,56,37.569060773480665,70.83333333333334,49.09747292418773
local,28,32,20,46.666666666666664,58.333333333333336,51.85185185185185
legislacao,248,159,164,60.93366093366094,60.19417475728155,60.56166056166056
jurisprudencia,108,235,77,31.486880466472307,58.37837837837838,40.909090909090914
