entity,tp,fp,fn,precision,recall,f1
pessoa,182,155,128,54.00593471810089,58.70967741935483,56.2596599690881
organizacao,220,270,341,44.89795918367347,39.21568627450981,41.864890580399624
tempo,115,154,120,42.75092936802974,48.93617021276596,45.63492063492064
local,35,122,74,22.29299363057325,32.11009174311927,26.315789473684212
legislacao,128,207,295,38.2089552238806,30.260047281323878,33.773087071240106
jurisprudencia,12,71,195,14.457831325301203,5.797101449275362,8.275862068965516
