entity,tp,fp,fn,precision,recall,f1
pessoa,139,94,94,59.65665236051502,59.65665236051502,59.65665236051502
organizacao,256,226,246,53.11203319502075,50.99601593625498,52.03252032520326
tempo,134,40,58,77.01149425287356,69.79166666666666,73.22404371584699
local,33,42,15,44.0,68.75,53.65853658536585
legislacao,255,154,157,62.34718826405869,61.89320388349514,62.119366626065776
jurisprudencia,116,161,69,41.87725631768953,62.70270270270271,50.21645021645021
