entity,tp,fp,fn,precision,recall,f1
pessoa,119,154,114,43.58974358974359,51.072961373390555,47.03557312252964
organizacao,138,148,364,48.25174825174825,27.490039840637447,35.025380710659896
tempo,58,57,134,50.43478260869565,30.208333333333332,37.78501628664495
local,13,39,35,25.0,27.083333333333332,26.0
legislacao,181,209,231,46.41025641025641,43.932038834951456,45.13715710723192
jurisprudencia,61,117,124,34.26966292134831,32.972972972972975,33.608815426997246
